Date_time,T_g_2_5,T_g_15,s_m_5,s_m_20,s_m_60,s_m_90,rainfall
09/01/2016 00:20,11.6,11.8,38.93,26.1,34.56,36.28,0
09/01/2016 00:40,11.5,11.8,38.98,26.1,34.56,36.29,0
09/01/2016 01:00,11.4,11.7,39,26.1,34.57,36.29,0
09/01/2016 01:20,11.4,11.7,38.99,26.1,34.57,36.3,0
09/01/2016 01:40,11.4,11.7,39.1,26.1,34.57,36.31,0
09/01/2016 02:00,11.4,11.6,38.74,26.09,34.57,36.32,0
09/01/2016 02:20,11.4,11.6,38.99,26.08,34.57,36.34,0
09/01/2016 02:40,11.4,11.6,39.05,26.08,34.57,36.35,0
09/01/2016 03:00,11.4,11.6,39.03,26.08,34.57,36.36,0
09/01/2016 03:20,11.4,11.5,38.89,26.07,34.57,36.39,0
09/01/2016 03:40,11.4,11.5,38.85,26.07,34.58,36.41,0
09/01/2016 04:00,11.4,11.5,38.81,26.07,34.58,36.44,0
09/01/2016 04:20,11.4,11.5,38.83,26.06,34.58,36.46,0
09/01/2016 04:40,11.5,11.5,38.85,26.07,34.59,36.47,0
09/01/2016 05:00,11.5,11.5,38.88,26.07,34.59,36.47,0
09/01/2016 05:20,11.5,11.5,38.9,26.06,34.59,36.49,0
09/01/2016 05:40,11.5,11.4,38.96,26.06,34.59,36.49,0
09/01/2016 06:00,11.5,11.4,38.93,26.06,34.59,36.49,0
09/01/2016 06:20,11.4,11.4,38.95,26.06,34.59,36.49,0
09/01/2016 06:40,11.4,11.4,38.88,26.05,34.59,36.5,0
09/01/2016 07:00,11.4,11.4,38.66,26.04,34.59,36.5,0
09/01/2016 07:20,11.3,11.4,38.6,26.04,34.59,36.5,0
09/01/2016 07:40,11.3,11.4,38.61,26.04,34.59,36.51,0
09/01/2016 08:00,11.4,11.4,38.67,26.04,34.59,36.51,0
09/01/2016 08:20,11.4,11.4,38.88,26.04,34.59,36.51,0
09/01/2016 08:40,11.5,11.4,39.46,26.04,34.6,36.51,0
09/01/2016 09:00,11.5,11.4,39.67,26.04,34.6,36.51,0
09/01/2016 09:20,11.6,11.4,39.67,26.04,34.6,36.51,0
09/01/2016 09:40,11.7,11.4,39.61,26.04,34.6,36.51,0
09/01/2016 10:00,11.9,11.4,39.7,26.03,34.6,36.51,0
09/01/2016 10:20,12,11.4,39.76,26.03,34.6,36.51,0
09/01/2016 10:40,12.1,11.4,39.83,26.02,34.6,36.51,0
09/01/2016 11:00,12.2,11.4,39.86,26.02,34.6,36.51,0
09/01/2016 11:20,12.3,11.4,39.95,26.03,34.6,36.52,0
09/01/2016 11:40,12.5,11.5,39.99,26.02,34.6,36.52,0
09/01/2016 12:00,12.6,11.5,40.06,26.01,34.6,36.52,0
09/01/2016 12:20,12.7,11.5,40.07,26.01,34.6,36.52,0
09/01/2016 12:40,12.8,11.6,40.03,26,34.6,36.53,0
09/01/2016 13:00,12.8,11.6,40.04,25.99,34.6,36.53,0
09/01/2016 13:20,12.8,11.6,39.96,26,34.6,36.53,0
09/01/2016 13:40,12.8,11.7,40.12,26,34.6,36.53,0
09/01/2016 14:00,12.9,11.7,40.07,25.99,34.6,36.53,0
09/01/2016 14:20,12.9,11.7,40.09,25.99,34.6,36.53,0
09/01/2016 14:40,12.9,11.8,40.02,25.98,34.6,36.53,0
09/01/2016 15:00,12.9,11.8,39.92,25.97,34.6,36.53,0
09/01/2016 15:20,12.9,11.8,39.69,25.97,34.6,36.53,0
09/01/2016 15:40,12.9,11.9,39.48,25.97,34.61,36.53,0
09/01/2016 16:00,12.9,11.9,39.78,25.97,34.61,36.53,0
09/01/2016 16:20,12.9,11.9,39.56,25.97,34.61,36.53,0
09/01/2016 16:40,12.9,11.9,39.34,25.96,34.61,36.53,0
09/01/2016 17:00,12.9,11.9,39.31,25.96,34.61,36.53,0
09/01/2016 17:20,12.9,12,39.29,25.95,34.61,36.53,0
09/01/2016 17:40,12.8,12,39.24,25.95,34.61,36.53,0
09/01/2016 18:00,12.8,12,39.49,25.95,34.61,36.53,0
09/01/2016 18:20,12.7,12,39.54,25.94,34.61,36.53,0
09/01/2016 18:40,12.7,12,39.55,25.94,34.61,36.53,0
09/01/2016 19:00,12.6,12,39.48,25.95,34.61,36.53,0
09/01/2016 19:20,12.6,12,39.42,25.95,34.61,36.53,0
09/01/2016 19:40,12.5,12,39.27,25.95,34.62,36.53,0
09/01/2016 20:00,12.5,12,38.91,25.94,34.62,36.53,0
09/01/2016 20:20,12.5,12,38.73,25.93,34.61,36.53,0
09/01/2016 20:40,12.5,12,39.38,25.93,34.61,36.53,0
09/01/2016 21:00,12.4,12,39.07,25.93,34.61,36.53,0
09/01/2016 21:20,12.4,12,39.02,25.93,34.61,36.54,0
09/01/2016 21:40,12.4,12,39.05,25.93,34.62,36.54,0
09/01/2016 22:00,12.3,12,39.03,25.93,34.62,36.54,0
09/01/2016 22:20,12.3,12,38.87,25.92,34.62,36.54,0
09/01/2016 22:40,12.2,11.9,38.71,25.92,34.62,36.54,0
09/01/2016 23:00,12.2,11.9,38.76,25.92,34.63,36.54,0
09/01/2016 23:20,12.1,11.9,38.81,25.92,34.63,36.54,0
09/01/2016 23:40,12,11.9,39.13,25.92,34.63,36.54,0
09/02/2016 00:00,11.9,11.9,39.03,25.92,34.63,36.54,0
09/02/2016 00:20,11.8,11.9,38.9,25.92,34.63,36.54,0
09/02/2016 00:40,11.7,11.9,39.02,25.92,34.63,36.54,0
09/02/2016 01:00,11.6,11.8,39,25.92,34.63,36.54,0
09/02/2016 01:20,11.5,11.8,38.93,25.92,34.63,36.54,0
09/02/2016 01:40,11.4,11.8,38.88,25.91,34.63,36.54,0
09/02/2016 02:00,11.4,11.7,38.44,25.91,34.63,36.54,0
09/02/2016 02:20,11.3,11.7,38.3,25.91,34.63,36.54,0
09/02/2016 02:40,11.2,11.7,38.35,25.91,34.63,36.54,0
09/02/2016 03:00,11.2,11.6,38.43,25.9,34.63,36.54,0
09/02/2016 03:20,11.1,11.6,38.32,25.89,34.63,36.54,0
09/02/2016 03:40,11,11.6,38.1,25.9,34.63,36.53,0
09/02/2016 04:00,11,11.5,37.77,25.9,34.63,36.54,0
09/02/2016 04:20,10.9,11.5,37.83,25.9,34.63,36.54,0
09/02/2016 04:40,10.8,11.5,37.81,25.9,34.63,36.54,0
09/02/2016 05:00,10.8,11.4,37.71,25.89,34.63,36.54,0
09/02/2016 05:20,10.7,11.4,37.69,25.89,34.64,36.53,0
09/02/2016 05:40,10.7,11.4,37.7,25.89,34.63,36.53,0
09/02/2016 06:00,10.7,11.3,37.7,25.89,34.63,36.53,0
09/02/2016 06:20,10.7,11.3,37.71,25.88,34.63,36.54,0
09/02/2016 06:40,10.6,11.3,37.73,25.88,34.63,36.54,0
09/02/2016 07:00,10.6,11.3,37.75,25.88,34.63,36.54,0
09/02/2016 07:20,10.6,11.2,37.77,25.88,34.63,36.54,0
09/02/2016 07:40,10.6,11.2,37.84,25.88,34.63,36.54,0
09/02/2016 08:00,10.7,11.2,37.91,25.88,34.63,36.54,0
09/02/2016 08:20,10.7,11.2,37.89,25.88,34.63,36.54,0
09/02/2016 08:40,10.8,11.1,37.94,25.87,34.63,36.54,0
09/02/2016 09:00,10.9,11.1,37.92,25.87,34.63,36.54,0
09/02/2016 09:20,11,11.1,37.98,25.87,34.62,36.54,0
09/02/2016 09:40,11,11.1,38.49,25.87,34.62,36.54,0
09/02/2016 10:00,11.1,11.1,38.21,25.87,34.62,36.54,0
09/02/2016 10:20,11.2,11.1,38.25,25.87,34.62,36.54,0
09/02/2016 10:40,11.2,11.1,38.31,25.87,34.62,36.54,0
09/02/2016 11:00,11.3,11.1,38.3,25.87,34.61,36.54,0
09/02/2016 11:20,11.4,11.1,38.33,25.86,34.61,36.54,0
09/02/2016 11:40,11.5,11.2,38.36,25.85,34.61,36.54,0
09/02/2016 12:00,11.5,11.2,38.34,25.85,34.61,36.54,0
09/02/2016 12:20,11.6,11.2,38.31,25.86,34.62,36.54,0
09/02/2016 12:40,11.6,11.2,38.31,25.86,34.61,36.54,0.2
09/02/2016 13:00,11.7,11.2,38.31,25.85,34.61,36.54,0.4
09/02/2016 13:20,11.7,11.2,38.31,25.85,34.62,36.54,0.2
09/02/2016 13:40,11.8,11.3,38.34,25.85,34.61,36.54,0
09/02/2016 14:00,11.8,11.3,38.32,25.85,34.62,36.54,0.2
09/02/2016 14:20,11.8,11.3,38.32,25.86,34.62,36.54,0.2
09/02/2016 14:40,11.8,11.3,38.31,25.86,34.62,36.54,0.4
09/02/2016 15:00,11.9,11.4,38.29,25.86,34.62,36.54,0.6
09/02/2016 15:20,11.9,11.4,38.35,25.87,34.62,36.54,0.2
09/02/2016 15:40,11.9,11.4,38.32,25.88,34.62,36.54,0.6
09/02/2016 16:00,11.9,11.4,38.41,25.89,34.62,36.54,0.6
09/02/2016 16:20,11.9,11.4,38.42,25.91,34.62,36.54,0.2
09/02/2016 16:40,11.9,11.4,38.49,25.93,34.61,36.54,0.2
09/02/2016 17:00,11.9,11.4,38.88,25.95,34.61,36.54,0
09/02/2016 17:20,11.9,11.5,38.68,25.96,34.61,36.54,0
09/02/2016 17:40,11.8,11.5,38.58,25.96,34.62,36.54,0
09/02/2016 18:00,11.8,11.5,38.78,25.97,34.63,36.54,1.2
09/02/2016 18:20,11.8,11.5,39.11,25.99,34.63,36.54,0.8
09/02/2016 18:40,11.8,11.5,39.38,26.02,34.63,36.54,0.8
09/02/2016 19:00,11.8,11.5,39.1,26.06,34.63,36.54,0.6
09/02/2016 19:20,11.8,11.5,39.71,26.1,34.64,36.54,0.8
09/02/2016 19:40,11.7,11.5,39.73,26.15,34.64,36.54,1.2
09/02/2016 20:00,11.7,11.5,39.96,26.21,34.64,36.54,1.4
09/02/2016 20:20,11.7,11.5,40.42,26.3,34.64,36.54,0.4
09/02/2016 20:40,11.7,11.5,40.55,26.37,34.65,36.54,0.2
09/02/2016 21:00,11.7,11.5,40.55,26.41,34.65,36.54,0.2
09/02/2016 21:20,11.7,11.5,40.62,26.44,34.65,36.54,0.8
09/02/2016 21:40,11.7,11.5,41,26.47,34.66,36.54,1.2
09/02/2016 22:00,11.6,11.5,41.2,26.53,34.66,36.54,1.4
09/02/2016 22:20,11.6,11.5,43.27,26.69,34.67,36.55,0.6
09/02/2016 22:40,11.6,11.5,43.95,26.78,34.69,36.55,0.6
09/02/2016 23:00,11.6,11.5,44.14,26.84,34.71,36.55,1.2
09/02/2016 23:20,11.6,11.5,45.33,26.96,34.75,36.55,1.2
09/02/2016 23:40,11.6,11.5,45.68,27.08,34.83,36.56,0.8
09/03/2016 00:00,11.6,11.5,46.02,27.24,35.03,36.56,2.2
09/03/2016 00:20,11.6,11.5,48.48,27.49,35.19,36.57,2
09/03/2016 00:40,11.6,11.5,47.87,27.63,35.21,36.57,0.6
09/03/2016 01:00,11.6,11.5,46.62,27.67,35.21,36.58,0.2
09/03/2016 01:20,11.6,11.5,46.01,27.67,35.21,36.59,0
09/03/2016 01:40,11.6,11.5,45.27,27.67,35.22,36.59,0
09/03/2016 02:00,11.6,11.5,44.31,27.67,35.21,36.59,0
09/03/2016 02:20,11.6,11.5,43.55,27.66,35.22,36.59,0
09/03/2016 02:40,11.6,11.5,43.11,27.64,35.22,36.59,0.4
09/03/2016 03:00,11.6,11.5,43.08,27.64,35.22,36.59,1
09/03/2016 03:20,11.6,11.5,43.76,27.66,35.22,36.6,0.2
09/03/2016 03:40,11.6,11.5,43.97,27.67,35.22,36.6,0.2
09/03/2016 04:00,11.5,11.5,44.11,27.67,35.22,36.61,0.4
09/03/2016 04:20,11.5,11.5,44.56,27.68,35.22,36.61,1
09/03/2016 04:40,11.5,11.5,46.51,27.71,35.22,36.6,0.8
09/03/2016 05:00,11.5,11.5,46.99,27.76,35.22,36.6,0.4
09/03/2016 05:20,11.5,11.5,46.9,27.79,35.23,36.6,0.6
09/03/2016 05:40,11.5,11.5,46.8,27.8,35.23,36.6,0
09/03/2016 06:00,11.5,11.5,46.48,27.81,35.23,36.6,0.2
09/03/2016 06:20,11.4,11.5,46.08,27.81,35.23,36.6,0
09/03/2016 06:40,11.4,11.5,45.33,27.81,35.23,36.61,0
09/03/2016 07:00,11.4,11.5,44.42,27.81,35.23,36.61,0
09/03/2016 07:20,11.4,11.5,43.91,27.8,35.23,36.61,0
09/03/2016 07:40,11.4,11.4,43.48,27.79,35.23,36.61,0
09/03/2016 08:00,11.4,11.4,43.23,27.78,35.23,36.61,0
09/03/2016 08:20,11.4,11.4,43.1,27.77,35.23,36.61,0
09/03/2016 08:40,11.4,11.4,42.89,27.77,35.24,36.61,0
09/03/2016 09:00,11.4,11.4,42.72,27.76,35.23,36.61,0
09/03/2016 09:20,11.4,11.4,42.69,27.74,35.23,36.61,0
09/03/2016 09:40,11.5,11.4,42.65,27.73,35.23,36.61,0
09/03/2016 10:00,11.5,11.4,42.68,27.72,35.24,36.61,0
09/03/2016 10:20,11.6,11.4,42.59,27.7,35.23,36.61,0
09/03/2016 10:40,11.6,11.4,42.99,27.69,35.24,36.62,0
09/03/2016 11:00,11.7,11.4,42.65,27.69,35.24,36.62,0
09/03/2016 11:20,11.8,11.4,42.68,27.68,35.24,36.62,0
09/03/2016 11:40,11.8,11.4,42.66,27.68,35.24,36.62,0
09/03/2016 12:00,11.8,11.5,42.6,27.67,35.24,36.62,0
09/03/2016 12:20,11.9,11.5,42.6,27.67,35.24,36.62,0
09/03/2016 12:40,11.9,11.5,42.59,27.67,35.24,36.62,0
09/03/2016 13:00,12,11.5,42.52,27.67,35.25,36.62,0
09/03/2016 13:20,12,11.5,42.52,27.67,35.24,36.62,0
09/03/2016 13:40,12.1,11.5,42.5,27.66,35.24,36.62,0
09/03/2016 14:00,12.2,11.5,42.52,27.66,35.25,36.62,0
09/03/2016 14:20,12.2,11.6,42.97,27.65,35.24,36.62,0
09/03/2016 14:40,12.3,11.6,42.66,27.64,35.24,36.62,0
09/03/2016 15:00,12.3,11.6,42.49,27.63,35.25,36.62,0
09/03/2016 15:20,12.3,11.6,42.49,27.63,35.25,36.62,0
09/03/2016 15:40,12.3,11.6,42.46,27.64,35.25,36.62,0
09/03/2016 16:00,12.3,11.7,42.46,27.63,35.25,36.62,0
09/03/2016 16:20,12.3,11.7,42.44,27.62,35.25,36.62,0
09/03/2016 16:40,12.3,11.7,42.39,27.6,35.25,36.62,0
09/03/2016 17:00,12.2,11.7,42.35,27.59,35.25,36.62,0
